Term | File path | Line numbers
531 | tracker-ui-good\tracker-ui\src\App.jsx | 10,12,13,36,70,71,72,74,77
531 | tracker-ui-good\tracker-ui\src\__tests__\new-architecture\V2_IMPLEMENTATION_SUMMARY.md | 15,29,52,81
531 | tracker-ui-good\tracker-ui\src\__tests__\new-architecture\v2-smoke.test.js | 7,8
531 | tracker-ui-good\tracker-ui\src\components\program\BuilderCTA.jsx | 14
531 | tracker-ui-good\tracker-ui\src\components\program\FiveThreeOneWorkflow.jsx | 8,10,12,13,37,43,102,110,111,115,118
531 | tracker-ui-good\tracker-ui\src\components\program\ProgramWizard531.jsx | 1,51
531 | tracker-ui-good\tracker-ui\src\components\program\steps\ProgramPreview531.jsx | 1,4,6,10,34
531 | tracker-ui-good\tracker-ui\src\components\program\steps\Step1ProgramFundamentals.jsx | 6
531 | tracker-ui-good\tracker-ui\src\components\program\steps\Step4CycleAndProgression.jsx | 6
531 | tracker-ui-good\tracker-ui\src\components\program\steps\Step8ReviewAndStart.jsx | 37
531 | tracker-ui-good\tracker-ui\src\components\program\steps\_registry\stepRegistry.js | 190
531 | tracker-ui-good\tracker-ui\src\components\program\tabs\InjuryScreeningStep.jsx | 31,46,67,81,101,121,141,249,605
531 | tracker-ui-good\tracker-ui\src\components\program\tabs\MethodologySelection.jsx | 6,9
531 | tracker-ui-good\tracker-ui\src\lib\engines\FiveThreeOneEngine.v2.js | 1,2
531 | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\compute531.js | 1
531 | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\generateProgram.js | 84
531 | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\progression.js | 2
531 | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\warmup.js | 2
531 | tracker-ui-good\tracker-ui\src\lib\templates\531.templateSpecs.js | 2
531 | tracker-ui-good\tracker-ui\src\lib\wizardStore.js | 2
531 | tracker-ui-good\tracker-ui\src\methods\531\__tests__\assistance.index.edge.test.jsx | 3
531 | tracker-ui-good\tracker-ui\src\methods\531\__tests__\step4.assistance.snap.test.jsx | 6
531 | tracker-ui-good\tracker-ui\src\methods\531\assistanceRules.js | 2
531 | tracker-ui-good\tracker-ui\src\methods\531\assistance\index.js | 5
531 | tracker-ui-good\tracker-ui\src\methods\531\components\Program531ActiveV2.jsx | 4,10,27,135,140
531 | tracker-ui-good\tracker-ui\src\methods\531\components\ProgramWizard531V2.jsx | 2,10,21,92,127,265,268,291,296,563,564,1311
531 | tracker-ui-good\tracker-ui\src\methods\531\components\TemplateExplainerModal.jsx | 4
